addtool,replace,url,Simulated annealing as implemented by ABKGroup at UCSD,,,
addrelease,replace,1.0,,,,
result,ibm01,2240000.00,0,0,0,x
result,ibm02,5270000.00,0,0,0,x
result,ibm03,6340000.00,0,0,0,x
result,ibm04,7110000.00,0,0,0,x
result,ibm06,5730000.00,0,0,0,x
result,ibm07,9810000.00,0,0,0,x
result,ibm08,11200000.00,0,0,0,x
result,ibm09,11900000.00,0,0,0,x
result,ibm10,39500000.00,0,0,0,x
result,ibm11,16600000.00,0,0,0,x
result,ibm12,30500000.00,0,0,0,x
result,ibm13,21800000.00,0,0,0,x
result,ibm14,33900000.00,0,0,0,x
result,ibm15,44400000.00,0,0,0,x
result,ibm16,51500000.00,0,0,0,x
result,ibm17,62700000.00,0,0,0,x
result,ibm18,39700000.00,0,0,0,x